time,open,high,low,close,volume
2019-05-27 00:00,1286.715,1287.248,1282.618,1283.188,1136
2019-05-28 00:00,1283.188,1285.065,1276.055,1279.895,1372
2019-05-29 00:00,1279.895,1285.465,1277.195,1277.445,1378
2019-05-30 00:00,1277.445,1293.048,1274.948,1291.098,1372
2019-05-31 00:00,1291.098,1306.878,1290.868,1305.295,1049
2019-06-02 00:00,1306.918,1312.755,1305.835,1311.748,330
2019-06-03 00:00,1311.745,1327.898,1309.155,1321.698,1379
2019-06-04 00:00,1321.728,1329.005,1319.905,1325.688,1377
2019-06-05 00:00,1325.678,1344.048,1325.515,1331.338,1376
2019-06-06 00:00,1331.338,1339.748,1330.258,1332.488,1375
2019-06-07 00:00,1332.495,1348.198,1330.205,1340.388,1048
2019-06-09 00:00,1336.848,1337.658,1328.775,1329.175,330
2019-06-10 00:00,1329.175,1330.058,1325.028,1328.108,1374
2019-06-11 00:00,1328.125,1333.715,1319.815,1333.078,1373
2019-06-12 00:00,1333.088,1338.348,1329.785,1334.295,1376
2019-06-13 00:00,1334.298,1347.808,1333.628,1346.595,1380
2019-06-14 00:00,1346.568,1358.088,1337.738,1340.888,1049
2019-06-16 00:00,1341.785,1342.575,1336.095,1342.305,327
2019-06-17 00:00,1342.305,1343.505,1332.915,1340.675,1378
2019-06-18 00:00,1340.665,1354.605,1339.258,1345.108,1375
2019-06-19 00:00,1345.085,1393.928,1341.195,1381.005,1379
2019-06-20 00:00,1381.005,1411.805,1377.798,1405.518,1379
2019-06-21 00:00,1405.525,1406.365,1382.5,1399.158,1050
2019-06-23 00:00,1400.075,1411.155,1399.648,1404.058,330
2019-06-24 00:00,1404.048,1432.725,1400.728,1430.248,1379
2019-06-25 00:00,1430.258,1439.138,1404.965,1406.415,1379
2019-06-26 00:00,1406.418,1415.198,1401.865,1407.505,1379
2019-06-27 00:00,1407.425,1424.568,1398.548,1419.918,1377
2019-06-28 00:00,1419.918,1421.548,1405.618,1409.485,1049
2019-06-30 00:00,1397.165,1397.698,1384,1392.045,330
2019-07-01 00:00,1392.068,1396.278,1381.715,1389.438,1380
2019-07-02 00:00,1389.438,1437.688,1388.428,1425.385,1379
2019-07-03 00:00,1425.405,1428.668,1411.975,1419.848,1378
2019-07-04 00:00,1419.845,1424.128,1410.128,1417.428,1153
2019-07-05 00:00,1417.418,1418.678,1386.518,1398.525,1049
2019-07-07 00:00,1398.975,1401.465,1392.638,1398.548,330
2019-07-08 00:00,1398.558,1407.508,1390.668,1395.625,1379
2019-07-09 00:00,1395.655,1400.025,1385.658,1393.775,1380
2019-07-10 00:00,1393.755,1427.078,1389.838,1424.068,1380
2019-07-11 00:00,1424.088,1424.915,1400.738,1408.385,1380
2019-07-12 00:00,1408.395,1416.818,1403.048,1415.145,1049
2019-07-14 00:00,1415.408,1419.698,1409.328,1411.308,330
2019-07-15 00:00,1411.325,1418.158,1407.655,1413.408,1379
2019-07-16 00:00,1413.408,1416.235,1400.758,1405.145,1377
2019-07-17 00:00,1405.145,1430.085,1400.018,1421.888,1380
2019-07-18 00:00,1421.868,1452.888,1414.578,1442.945,1380
2019-07-19 00:00,1442.875,1443.755,1420.098,1425.168,1049
2019-07-21 00:00,1427.598,1428.725,1422.148,1426.565,330
2019-07-22 00:00,1426.575,1429.955,1415.858,1417.488,1377
2019-07-23 00:00,1417.485,1430.085,1414.138,1420.938,1380
2019-07-24 00:00,1420.935,1429.445,1418.268,1422.368,1378
2019-07-25 00:00,1422.368,1433.698,1410.968,1416.585,1376
2019-07-26 00:00,1416.585,1424.768,1413.228,1417.948,1049
2019-07-28 00:00,1418.775,1424.198,1418.115,1420.845,330
2019-07-29 00:00,1420.845,1428.078,1414.718,1423.685,1378
2019-07-30 00:00,1423.685,1433.165,1422.688,1428.508,1380
2019-07-31 00:00,1428.465,1434.258,1404.198,1410.338,1379
2019-08-01 00:00,1410.338,1449.025,1400.418,1431.605,1378
2019-08-02 00:00,1431.598,1447.935,1430.225,1440.568,1051
2019-08-04 00:00,1439.898,1455.905,1436.648,1455.128,330
2019-08-05 00:00,1455.138,1474.815,1450.678,1465.588,1378
2019-08-06 00:00,1465.595,1490.088,1456.315,1485.645,1380
2019-08-07 00:00,1485.685,1510.278,1481.178,1500.148,1379
2019-08-08 00:00,1500.148,1509.475,1489.948,1507.595,1380
2019-08-09 00:00,1507.605,1508.008,1494.698,1496.948,1048
2019-08-11 00:00,1497.515,1501.445,1495,1496.695,330
2019-08-12 00:00,1496.675,1520.008,1487.258,1516.025,1380
2019-08-13 00:00,1516.028,1534.948,1479.715,1501.935,1379
2019-08-14 00:00,1501.915,1524.228,1496.578,1517.398,1381
2019-08-15 00:00,1517.398,1527.945,1507.848,1520.905,1379
2019-08-16 00:00,1520.885,1522.175,1503.635,1512.395,1049
2019-08-18 00:00,1512.398,1512.928,1505.035,1508.795,329
2019-08-19 00:00,1508.795,1509.685,1492.848,1495.968,1380
2019-08-20 00:00,1495.968,1508.508,1494.325,1502.955,1380
2019-08-21 00:00,1502.968,1507.398,1496.445,1501.295,1375
2019-08-22 00:00,1501.315,1504.518,1492.425,1495.005,1380
2019-08-23 00:00,1495.005,1530.188,1493.475,1526.598,1049
2019-08-25 00:00,1535.278,1555.048,1535.278,1539.165,330
2019-08-26 00:00,1539.165,1544.108,1524.955,1528.405,1380
2019-08-27 00:00,1528.405,1544.608,1527.475,1535.068,1379
2019-08-28 00:00,1535.068,1546.805,1533.728,1541.935,1379
2019-08-29 00:00,1541.945,1550.315,1519.608,1524.285,1379
2019-08-30 00:00,1524.335,1533.055,1517,1519.998,1049
2019-09-01 00:00,1528.325,1533.948,1522.658,1526.175,330
2019-09-02 00:00,1526.245,1531.145,1519.305,1524.005,1147
2019-09-03 00:00,1524.005,1550.045,1523.248,1544.245,1380
2019-09-04 00:00,1544.185,1556.958,1533.825,1545.885,1380
2019-09-05 00:00,1545.848,1550.098,1506.115,1513.125,1380
2019-09-06 00:00,1513.125,1527.798,1502.488,1506.398,1050
2019-09-08 00:00,1507.968,1512.498,1502.595,1509.355,330
2019-09-09 00:00,1509.308,1515.415,1486.398,1489.428,1380
2019-09-10 00:00,1489.395,1500.948,1484.418,1491.138,1380
2019-09-11 00:00,1491.148,1498.365,1486.765,1494.355,1379
2019-09-12 00:00,1494.355,1524.118,1492.408,1496.965,1379
2019-09-13 00:00,1496.965,1508.938,1485.735,1488.5,1049
2019-09-15 00:00,1506.838,1512.065,1498.608,1504.385,330
2019-09-16 00:00,1504.405,1507.028,1495.815,1498.198,1380
2019-09-17 00:00,1498.198,1507.008,1493.408,1502.198,1380
2019-09-18 00:00,1502.198,1511.558,1483.155,1494.005,1380
2019-09-19 00:00,1493.995,1504.468,1493.465,1503.588,1380
2019-09-20 00:00,1503.588,1516.978,1498.588,1516.598,1050
2019-09-22 00:00,1513.988,1519.49,1510.968,1516.568,330
2019-09-23 00:00,1516.568,1526.748,1511.485,1521.135,1380
2019-09-24 00:00,1521.168,1535.638,1515.525,1528.765,1380
2019-09-25 00:00,1528.775,1532.808,1500.375,1509.405,1379
2019-09-26 00:00,1509.448,1512.235,1500.108,1506.458,1380
2019-09-27 00:00,1506.458,1506.925,1486.768,1496.498,1050
2019-09-29 00:00,1494.568,1500.465,1491.035,1491.955,330
2019-09-30 00:00,1491.905,1494.368,1464.445,1468.285,1377
2019-10-01 00:00,1468.255,1487.138,1459.008,1477.745,1380
2019-10-02 00:00,1477.748,1505.048,1474.455,1499.468,1379
2019-10-03 00:00,1499.468,1519.488,1495.725,1509.115,1380
2019-10-04 00:00,1509.115,1515.658,1495.927,1504.298,1050
2019-10-06 00:00,1511.868,1512.215,1505.315,1506.958,330
2019-10-07 00:00,1506.958,1507.608,1486.845,1491.028,1379
2019-10-08 00:00,1491.025,1509.618,1488.555,1505.605,1380
2019-10-09 00:00,1505.605,1516.948,1499.768,1509.245,1380
2019-10-10 00:00,1509.285,1510.745,1490.778,1495.485,1379
2019-10-11 00:00,1495.485,1503.115,1473.925,1488.598,1048
2019-10-13 00:00,1488.128,1488.665,1482.728,1485.905,330
2019-10-14 00:00,1485.888,1497.068,1485.588,1495.098,1375
2019-10-15 00:00,1495.098,1498.388,1477.098,1483.308,1378
2019-10-16 00:00,1483.308,1493.048,1476.995,1488.615,1374
2019-10-17 00:00,1488.645,1497.308,1483.385,1492.195,1379
2019-10-18 00:00,1492.195,1493.388,1484.825,1489.598,1048
2019-10-20 00:00,1491.338,1492.185,1489.055,1490.608,329
2019-10-21 00:00,1490.625,1495.208,1480.768,1484.125,1376
2019-10-22 00:00,1484.128,1490.555,1482.688,1489.028,1376
2019-10-23 00:00,1488.955,1496.268,1488.088,1493.095,1379
2019-10-24 00:00,1493.115,1503.948,1487.915,1501.958,1376
2019-10-25 00:00,1501.958,1517.948,1500.558,1504.198,1050
2019-10-27 00:00,1504.508,1506.125,1502,1504.815,330
2019-10-28 00:00,1504.815,1508.155,1489.948,1492.205,1375
2019-10-29 00:00,1492.205,1494.715,1483.398,1488.665,1379
2019-10-30 00:00,1488.665,1499.458,1481.048,1497.428,1379
2019-10-31 00:00,1497.428,1514.148,1496.5,1510.885,1376
2019-11-01 00:00,1510.888,1515.938,1503.218,1513.998,1050
2019-11-03 00:00,1513.908,1513.908,1510.945,1512.705,270
2019-11-04 00:00,1512.685,1514.758,1504.395,1505.325,1376
2019-11-05 00:00,1505.325,1507.648,1479.275,1487.095,1380
2019-11-06 00:00,1487.095,1494.118,1483,1491.375,1380
2019-11-07 00:00,1491.385,1492.148,1460.498,1468.878,1380
2019-11-08 00:00,1468.885,1472.868,1456.118,1458.485,1109
2019-11-10 00:00,1459.278,1463.728,1458.658,1461.495,270
2019-11-11 00:00,1461.495,1466.375,1448.155,1456.198,1371
2019-11-12 00:00,1456.198,1460.335,1445.545,1457.868,1379
2019-11-13 00:00,1457.865,1466.995,1457.655,1463.888,1375
2019-11-14 00:00,1463.895,1474.535,1463.718,1465.775,1379
2019-11-15 00:00,1465.795,1469.128,1462.355,1467.885,1108
2019-11-17 00:00,1467.158,1469.548,1464.855,1465.528,270
2019-11-18 00:00,1465.545,1475.328,1456.285,1469.925,1380
2019-11-19 00:00,1469.925,1475.228,1464.898,1474.098,1375
2019-11-20 00:00,1474.105,1478.728,1465.838,1472.415,1380
2019-11-21 00:00,1472.428,1474.408,1462.275,1464.805,1373
2019-11-22 00:00,1464.805,1473.188,1461.295,1461.785,1110
2019-11-24 00:00,1460.218,1462.085,1459.585,1460.965,270
2019-11-25 00:00,1460.965,1461.725,1451.575,1453.845,1377
2019-11-26 00:00,1453.855,1462.848,1450,1458.955,1375
2019-11-27 00:00,1459.028,1460.225,1452.535,1456.148,1377
2019-11-28 00:00,1456.165,1458.645,1454.195,1458.338,1139
2019-11-29 00:00,1458.355,1466.528,1453.115,1463.448,933
2019-12-01 00:00,1464.048,1464.078,1459.275,1459.508,269
2019-12-02 00:00,1459.518,1465.268,1453.885,1461.955,1375
2019-12-03 00:00,1461.945,1481.718,1459.768,1479.838,1380
2019-12-04 00:00,1479.928,1483.988,1471.365,1476.135,1379
2019-12-05 00:00,1476.135,1480.308,1472.855,1475.095,1367
2019-12-06 00:00,1475.078,1479.788,1458.635,1459.785,1109
2019-12-08 00:00,1459.418,1461.505,1458.548,1459.295,270
2019-12-09 00:00,1459.305,1465.318,1459.085,1460.665,1377
2019-12-10 00:00,1460.668,1469.128,1459.965,1463.675,1379
2019-12-11 00:00,1463.648,1478.848,1462.598,1475.375,1377
2019-12-12 00:00,1475.375,1486.708,1461.648,1467.905,1379
2019-12-13 00:00,1467.918,1477.968,1465.258,1475.455,1110
2019-12-15 00:00,1475.098,1476.238,1473.108,1474.398,270
2019-12-16 00:00,1474.405,1479.848,1473.9,1475.908,1378
2019-12-17 00:00,1475.875,1480.488,1474.135,1476.365,1369
2019-12-18 00:00,1476.365,1479.248,1470.405,1477.838,1376
2019-12-19 00:00,1477.835,1481.668,1473.205,1478.025,1375
2019-12-20 00:00,1478.015,1480.908,1475.768,1477.785,1098
2019-12-22 00:00,1478.128,1481.368,1477.425,1481.095,270
